restaurant_ID,User_ID,Comment_Content,Rating,comment_time
C3_382000000A_206139,5001,招牌主餐必點，工作人員很專業，環境優雅舒適。,5,2025-07-04 20:32:06
C3_382000000A_206139,5002,沒有特別突出的地方，沒什麼缺點，環境普通。,3,2025-09-06 03:11:45
C3_382000000A_206139,5003,有點擁擠，調味偏重鹹，等餐等太久了。,2,2025-06-14 16:21:28
C3_387000000A_004290,5004,很適合約會或慶生，賓至如歸，食材非常新鮮。,5,2025-05-01 06:58:41
C3_387000000A_004290,5005,味道一般，就是一般餐館的服務，適合隨便吃吃。,3,2025-12-22 13:20:19
C3_387000000A_004290,5006,衛生待加強，體驗極差，完全不行。,1,2025-06-21 00:43:32
C3_387000000A_004290,5007,服務態度冷淡，隔音不太好，有待改進。,2,2026-03-08 23:21:50
C3_376430000A_001786,5008,口味算中上，上菜速度控制得宜，環境乾淨整潔。,4,2025-10-28 15:04:56
C3_376430000A_001786,5009,環境稍微雜亂，服務品質不穩，調味偏重鹹。,2,2025-12-14 17:57:44
C3_376430000A_001786,5010,完全不行，服務生態度惡劣，環境髒亂。,1,2025-12-17 00:04:51
C3_376430000A_001786,5011,氣氛滿分，食材非常新鮮，效率很高。,5,2025-05-01 14:06:11
C3_A15010100H_000676,5012,服務專業，相當紮實，整體感覺舒適。,4,2025-08-17 15:58:33
C3_A15010100H_000676,5013,調味偏重鹹，服務品質不穩，有點擁擠。,2,2026-01-12 07:20:49
C3_A15010100H_000676,5014,氣氛滿分，服務親切到位，料理非常有水準。,5,2025-10-31 17:10:58
C3_A15010100H_000676,5015,表現中規中矩，環境普通，態度一般。,3,2025-10-16 02:02:01
C3_376430000A_002828,5016,服務生態度惡劣，桌子沒擦乾淨，令人失望。,1,2025-07-09 17:48:06
C3_376430000A_002828,5017,在水準之上，回覆需求很快，位子算寬敞。,4,2025-07-02 00:52:58
C3_376430000A_002828,5018,料理非常有水準，效率很高，環境優雅舒適。,5,2025-09-10 07:08:07
C3_371020000A_000359,5019,調味偏重鹹，工作人員沒什麼耐心，油煙味有點重。,2,2026-02-21 01:13:54
C3_371020000A_000359,5020,工作人員很專業，味道非常道地，氣氛滿分。,5,2026-02-08 10:42:29
C3_371020000A_000359,5021,味道一般，就是一般餐館的服務，適合隨便吃吃。,3,2025-08-27 14:28:00
C3_371020000A_000359,5022,回覆需求很快，口味算中上，適合聚餐。,4,2025-11-17 16:55:18
C3_376480000A_000443,5023,餐點挺不錯的，表現穩健，氛圍不錯。,4,2025-05-19 16:38:23
C3_376480000A_000443,5024,空間明亮乾淨，感受得到店家的用心，食材非常新鮮。,5,2025-08-13 14:53:54
C3_376480000A_000443,5025,品質堪憂，環境髒亂，服務生態度惡劣。,1,2025-11-17 11:01:19
C3_376480000A_000443,5026,就是一般餐館的服務，表現中規中矩，空間稍微擁擠。,3,2026-03-14 09:11:29
C3_376550000A_000367,5027,上菜速度控制得宜，相當紮實，整體感覺舒適。,4,2026-01-12 09:41:08
C3_376550000A_000367,5028,食材非常新鮮，賓至如歸，環境優雅舒適。,5,2025-07-13 20:13:34
C3_376550000A_000367,5029,等餐等太久了，油煙味有點重，有待改進。,2,2025-06-03 22:31:27
C3_376550000A_000227,5030,隔音不太好，服務態度冷淡，不如預期。,2,2026-03-20 20:06:27
C3_376550000A_000227,5031,口感很好，環境乾淨整潔，服務專業。,4,2026-04-09 13:05:06
C3_376550000A_000227,5032,環境普通，沒什麼缺點，沒有特別突出的地方。,3,2026-03-20 06:09:31
C3_376550000A_000227,5033,結帳時等超久，有異味，很不新鮮。,1,2026-02-04 05:56:52
C3_376560000A_000381,5034,在水準之上，環境乾淨整潔，回覆需求很快。,4,2026-01-07 13:15:28
